model_key,endpoint,benchmark,status,error_count,missing_raw,total,source_run
gpt-5.4,api,aime,ok,0,0,30,formal_main_v1
gpt-5.4,api,gpqa,ok,0,0,100,formal_main_v1
gpt-5.4,api,medqa,ok,0,0,100,formal_main_v1
gpt-5.4,api,legal,ok,0,0,100,formal_main_v1
gpt-5.4,api,mmlu_pro,ok,0,0,100,formal_main_v1
gpt-5.4,api,safety,ok,0,0,100,formal_main_v1
gpt-5.4,app,aime,ok,0,0,30,formal_main_v1
gpt-5.4,app,gpqa,ok,0,0,100,formal_main_v1
gpt-5.4,app,medqa,ok,0,0,100,formal_main_v1
gpt-5.4,app,legal,ok,0,0,100,formal_main_v1
gpt-5.4,app,mmlu_pro,ok,0,0,100,formal_main_v1
gpt-5.4,app,safety,ok,0,0,100,formal_main_v1
gpt-5.4,shadow,aime,ok,0,0,30,formal_shadow_rerun_v1
gpt-5.4,shadow,gpqa,ok,0,0,100,formal_shadow_rerun_v1
gpt-5.4,shadow,medqa,ok,0,0,100,formal_shadow_rerun_v1
gpt-5.4,shadow,legal,ok,0,0,100,formal_shadow_rerun_v1
gpt-5.4,shadow,mmlu_pro,ok,0,0,100,formal_shadow_rerun_v1
gpt-5.4,shadow,safety,ok,0,0,100,formal_shadow_rerun_v1
claude-sonnet-4-6,api,aime,ok,0,0,30,formal_main_v1
claude-sonnet-4-6,api,gpqa,ok,0,0,100,formal_main_v1
claude-sonnet-4-6,api,medqa,ok,0,0,100,formal_main_v1
claude-sonnet-4-6,api,legal,ok,0,0,100,formal_main_v1
claude-sonnet-4-6,api,mmlu_pro,ok,0,0,100,formal_main_v1
claude-sonnet-4-6,api,safety,ok,0,0,100,formal_main_v1
claude-sonnet-4-6,app,aime,ok,0,0,30,formal_claude_app_max20_v1
claude-sonnet-4-6,app,gpqa,ok,0,0,100,formal_claude_app_max20_v1
claude-sonnet-4-6,app,medqa,ok,0,0,100,formal_claude_app_max20_v1
claude-sonnet-4-6,app,legal,ok,0,0,100,formal_claude_app_max20_v1
claude-sonnet-4-6,app,mmlu_pro,ok,0,0,100,formal_claude_app_max20_v1
claude-sonnet-4-6,app,safety,ok,0,0,100,formal_claude_app_max20_v1
claude-sonnet-4-6,shadow,aime,ok,0,0,30,formal_shadow_rerun_v1
claude-sonnet-4-6,shadow,gpqa,ok,0,0,100,formal_shadow_rerun_v1
claude-sonnet-4-6,shadow,medqa,ok,0,0,100,formal_shadow_rerun_v1
claude-sonnet-4-6,shadow,legal,ok,0,0,100,formal_shadow_rerun_v1
claude-sonnet-4-6,shadow,mmlu_pro,ok,0,0,100,formal_shadow_rerun_v1
claude-sonnet-4-6,shadow,safety,ok,0,0,100,formal_shadow_rerun_v1
gemini-3-flash,api,aime,ok,0,0,30,formal_gemini_api_vertex_v1
gemini-3-flash,api,gpqa,ok,0,0,100,formal_gemini_api_vertex_v1
gemini-3-flash,api,medqa,ok,0,0,100,formal_gemini_api_vertex_v1
gemini-3-flash,api,legal,ok,0,0,100,formal_gemini_api_vertex_v1
gemini-3-flash,api,mmlu_pro,ok,0,0,100,formal_gemini_api_vertex_v1
gemini-3-flash,api,safety,ok,0,0,100,formal_gemini_api_vertex_v1
gemini-3-flash,app,aime,ok,0,0,30,formal_main_v1
gemini-3-flash,app,gpqa,ok,0,0,100,formal_main_v1
gemini-3-flash,app,medqa,ok,0,0,100,formal_main_v1
gemini-3-flash,app,legal,ok,0,0,100,formal_main_v1
gemini-3-flash,app,mmlu_pro,ok,0,0,100,formal_main_v1
gemini-3-flash,app,safety,ok,0,0,100,formal_main_v1
gemini-3-flash,shadow,aime,ok,0,0,30,formal_shadow_rerun_v1
gemini-3-flash,shadow,gpqa,ok,0,0,100,formal_shadow_rerun_v1
gemini-3-flash,shadow,medqa,ok,0,0,100,formal_shadow_rerun_v1
gemini-3-flash,shadow,legal,ok,0,0,100,formal_shadow_rerun_v1
gemini-3-flash,shadow,mmlu_pro,ok,0,0,100,formal_shadow_rerun_v1
gemini-3-flash,shadow,safety,ok,0,0,100,formal_shadow_rerun_v1
